,,,,,,,,,,,,,,,
,ACTIVITIES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,daily activities,,open world farming,,,castle erebban,,,survivors bane,,,shadow contracts,,,
,rewards,,dungeons,,,abyssal verge,,,fractured planes,,,path of blood,,,
,tier lists,,accursed towers,,,oblivion pillars,,,alley of blood,,,shadow war,,,
,,,elder rift,,,helliquary raids,,,conqueror,,,assembly,,,
,ancient arena,,challenge rift,,,purge the depths,,,wild brawl,,,raid the vault,,,
,sentinel's stand,,terror rift,,,endless defense,,,tower wars,,,vigil of blades,,,
,destruction's call,,bounties,,,ibn fahds sanctum,,,trial of the hordes,,,akeba's ordeal,,,
,diablo boss fight,,fishing,,,vanguard,,,,,,kion's ordeal,,,
,,,,,,,,,,,,corvus,,,
,,,,,,,,,,,,rite of exile,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Daily / Weekly Activities,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Priority,,,,,,,,,,,,,,
,1. Open first Chest in Ibn Fahds Sanctum. When you have 377 keys open all chests,,,,,,,,,,,,,,
,2. Complete Sentinel's Stand World Quest once a day to get 1-3 Legendary Gear Pieces + Gold/Scrap,,,,,,,,,,,,,,
,3. Collect your free Rare Crest at the Elder Rift Portal,,,,,,,,,,,,,,
,4. Take part in the Assembly to collect 4 Blessings / Kion + Corvus to get Aspirant Keys + 1 Legendary Crest,,,,,,,,,,,,,,
,5. Complete 2 Hellslayer Bounties / Normal Bounties,,,,,,,,,,,,,,
,"6. Complete any active Event with good rewards (Pearls, Crests, Gems, Keys, Legendary Gear)",,,,,,,,,,,,,,
,Optional,,,,,,,,,,,,,,
,1. Do Random Dungeons or Accursed Tower Runs in Party of 4 to get the 12 daily normal gems,,,,,,,,,,,,,,
,2. Compete in the Battlegrounds,,,,,,,,,,,,,,
,3. Collect 10 Monstrous Essences for 1 Legendary Gear Piece ,,,,,,,,,,,,,,
,4. Kill 1 Orange Elite for 1 Legendary Gear Piece,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Weekly,,,,,,,,,,,,,,
,1. Complete Hidden Lairs or Abyssal Verge / Ereban to get 126 Gems,,,,,,,,,,,,,,
,2. Do your Helliquary Warband Raids on Monday and Thursday,,,,,,,,,,,,,,
,3. Complete your 20 Shadow Missions / 60 Immortal Tasks (Just run 7 Vaults on Monday),,,,,,,,,,,,,,
,4. Participate in Shadow Wars on Thursday and Saturday (and Sunday),,,,,,,,,,,,,,
,5. Do your Warband Normal Defense of Castle Cyrangar,,,,,,,,,,,,,,
,6. Run 28 Elder Rifts,,,,,,,,,,,,,,
,7. Buy 3 Contracts at Niszas Shop,,,,,,,,,,,,,,
,8. Do Accursed Tower Runs to get the Chests (best to do late in the week),,,,,,,,,,,,,,
,9. Earn 10 Reward Chests from Terror Rifts to get 1 Eternal Gear Piece,,,,,,,,,,,,,,
,"10. Buy Pearl, Reforge Stones, Normal Gems, Charms and Rare Crests from the HILT Vendor",,,,,,,,,,,,,,
,11. Complete Diablo World Quest once a week to get 1 Legendary Gear Piece,,,,,,,,,,,,,,
,12. Complete Vanguard on Monday and Thursday,,,,,,,,,,,,,,
,13. Complete Akeba's Ordeal on Monday,,,,,,,,,,,,,,
,14. Complete the Zone Event in Sharval Wilds once a week,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,To cap your weekly Battle Points and cap most of the weekly rewards - this is an example of the activities / time to invest:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Weekly Activity,BP / run,min / run,Runs,Sum BP,Time (min),,,,,,,,,
,Elder Rifts,8,2,28,224,56,,,,,,,,,
,Abyssal Verge*,8,"2,5",24,192,60,*between 16-32 runs depending on #Points,,,,,,,,
,Abyssal Essences,10,0,3,30,0,*1-2 Essences per Abyssal Verge Run,,,,,,,,
,Monstrous Essences,40,"0,5",6,240,3,*2-3 Essences per Abyssal Verge Run,,,,,,,,
,Challenge Dungeons*,20,"3,5",21,420,"73,5",*between 15-25BP,,,,,,,,
,Vanguard,20,3,10,200,30,,,,,,,,,
,Helliquary Raids,20,3,10,200,30,,,,,,,,,
,Ibn Fahds,10,0,7,70,0,*Familiar Expedtion,,,,,,,,
,Terror Rift*,16,3,10,160,30,*between 8-32 Pts depending on #Spires,,,,,,,,
,(Helliquary) Bounties,32,"2,5",7,224,"17,5",,,,,,,,,
,Raid the Vault,15,"2,5",7,105,"17,5",,,,,,,,,
,Diablo Boss Fight,20,2,1,20,2,,,,,,,,,
,Accursed Towers,8,2,18,144,36,*8 BP for 400+ Shards,,,,,,,,
,Normal Defense,20,5,1,20,5,,,,,,,,,
,,,,,2249,~6h,* Plus Bonus BP from featured Activities,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tier Lists,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tier List of PVE Activities,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,S,"Challenge
Dungeons","Accursed
Towers","Abyssal
Verge","Hellslayer
Bounties","Akeba's
Ordeal",,,,,,,,,
,A,"Elder
Rift","Castle
Erebban","Hidden
Lairs","AFK
Farming(4)",Vanguard,"Diablo
Quest","Sentinels
Stand",Assembly,,,,,,
,B,"Open World
Farming","Helliquary
Raid",Bounties,"Oblivion
Pillars","Path of
Blood",,,,,,,,,
,C,"Challenge
Rift","Endless
Cyrangar","Ibn
Fahds","Terror
Rift",Fishing,"AFK
Farming(1)","Normal
Dungeons",Kion,,,,,,
,D,"Purge the
Depths","Normal
Cyrangar","Shadow
Contracts",,,,,,Corvus,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tier List of PVP Activities,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,S,Predictions,,,,,,,,,,,,,
,A,"BG
Convoy",,,,,,,,,,,,,
,B,BG,Vault,"Rite of
Exile","Vigil
of Blades","Clan Tower
Wars",,,,,,,,,
,C,"Destructions
End",,,,,,,,,,,,,
,D,"Shadow
War","Ancient
Arena",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tier List of Limited-Time Activities (PVE/PVP),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,S,"Survivor's
Bane",,,,,,,,,,,,,
,A,"Fractured
Plane","Alley of 
Blood (PVP)","Wild
Brawl (PVP)",,,,,,,,,,,
,B,"Howler
Hunt",,,,,,,,,,,,,
,C,"Tower
Wars (PVP)",,,,,,,,,,,,,
,D,"Conqueror
(PVP","Trial o.t.
Hordes (PVP)",,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Tier List of Limited-Time Events,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,S,"Mirrored
Jewels","Winds of
Fortune",,,,,,,,,,,,
,A,"All Clans
on Deck",,,,,,,,,,,,,
,B,"Shady
Stock","Hungering
Moon","Seasonal
Event",,,,,,,,,,,
,C,,,,,,,,,,,,,,
,D,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Activity Reward Overview ,,,,,,,,,,,,,,
,Here is an overview of the different Activities / Events and the rewards that can be earned,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Activity (PVE),Time,"Battle
Points",Experience,"Gold
Scrap
Dust","Legendary
Items","Set
Items","Aspirant
Keys","Normal
Gems","Familiar
Contracts",Rune,HILTS,"Legendary
Crest","Rare
Crest","Telluric
Pearl"
,Abyssal Verge,2-3min,6-8,,X,X,,,X,X,X,,,,
,Castle Erebban,3-5min,6-8,,X,X,,,X,X,X,,,,
,Accursed Towers,,2-8,,X,X,,,X(4),X,X,,,,
,Ibn Fahds,2min,10,,X,X,,X,,X,X,,,,
,Elder Rift,2min,8,,X,X,,X,,X,X,,,,
,Challenge Dungeon,3-5min,15-25,,X,X,X,,X(4),X,X,,,,
